step,epoch,avg_train_loss,avg_val_loss,val_dice_score
325,1,0.15434250955398265,0.1372698876349365,0.8668192958130556
650,2,0.14146892488002777,0.13642692270086093,0.8774893599397996
975,3,0.13769085017534402,0.13123730339986436,0.9100148537579704
1300,4,0.13313851700379298,0.12869003941031062,0.9054209064034855
1625,5,0.1388478305706611,0.14184696030090838,0.8658352765966865
1950,6,0.13779860271857336,0.13803672363214634,0.8821970469811383
2275,7,0.13219217146818454,0.1364575760329471,0.8480882048606873
2600,8,0.13245545971852082,0.1372955712106298,0.8674123383620206
2925,9,0.13397719621658324,0.1412381364361328,0.856054416474174
3250,10,0.13309129932752023,0.1337676339727991,0.8943188576137319
3575,11,0.13076550238407575,0.13233070919180617,0.8676393119727864
3900,12,0.12724758936808658,0.12798477544942322,0.894242459360291
4225,13,0.12716780272813943,0.13323832522420323,0.8666784728274626
4550,14,0.1292523870559839,0.13104442496071844,0.8739433086970273
4875,15,0.12785009106764428,0.13044232995632818,0.8668956607580185
