step,epoch,avg_train_loss,avg_val_loss,val_dice_score
325,1,0.19646972711269672,0.20617386172799504,0.8112416933564579
650,2,0.18786441592069772,0.19079992635285153,0.8229991548201617
975,3,0.191881766135876,0.18817741533412652,0.8300676012740416
1300,4,0.18897761257795187,0.1954715920283514,0.8234777240192189
1625,5,0.18314798515576583,0.1861628997413551,0.841132369111566
1950,6,0.17596401874835674,0.19735443175715559,0.832032867214259
2275,7,0.17762159663897295,0.17688900057007284,0.860489266760209
2600,8,0.1768305645080713,0.1850647435468786,0.8408961112008375
2925,9,0.17679375355060284,0.1911533801432918,0.821538433432579
3250,10,0.18246733151949368,0.18495935618000872,0.8251284097923952
3575,11,0.18112109784896557,0.18441466439296217,0.8271365218302783
3900,12,0.17804315452392286,0.18302492534413056,0.8315269578905666
4225,13,0.17458056674553799,0.18959705356289358,0.8222080767154694
4550,14,0.17328299068487607,0.18592865852748647,0.8310706799521166
4875,15,0.17433366564603953,0.20384923938442678,0.8312379516222898
