step,epoch,avg_train_loss,avg_val_loss,val_dice_score
325,1,0.1564366209736237,0.1454718509579406,0.863463728743441
650,2,0.16885547830508305,0.16986206984695265,0.8683411908500335
975,3,0.16945080284888928,0.16792582917739363,0.8683411908500335
1300,4,0.1675390487909317,0.18122532963752747,0.8683323211529675
1625,5,0.16983290686057165,0.16987110937342925,0.8683287404915866
1950,6,0.1695357997600849,0.16987271672662566,0.8683289561201545
2275,7,0.16951423424940842,0.1698719633414465,0.8683316278107026
2600,8,0.1695309315736477,0.16985535775037372,0.868331599761458
2925,9,0.16959750198400939,0.16987277041463292,0.8683312596643672
3250,10,0.1695107657634295,0.16985939114409335,0.8683321896721335
3575,11,0.16948730505429782,0.16987057117854848,0.868332597262719
3900,12,0.16897175431251527,0.16986624019987442,0.8683264448362238
4225,13,0.1668172016969094,0.16984758701394587,0.8683268655748928
4550,14,0.1684862376176394,0.16701711867662036,0.8683387812446145
4875,15,0.1670249977020117,0.16967869221287615,0.8683401802006889
