step,epoch,avg_train_loss,avg_val_loss,val_dice_score
325,1,0.28289462804794313,0.28223470116362853,0.7185021805412629
650,2,0.28262465256911057,0.28222952476319146,0.7185021805412629
975,3,0.28253895612863394,0.28225695078863816,0.7185021805412629
1300,4,0.2826088389983544,0.2821803110487321,0.7199296951293945
1625,5,0.2822604749752925,0.2822411016506307,0.7185021805412629
1950,6,0.28263481763693005,0.28224454031271096,0.7185021805412629
2275,7,0.28259624490371116,0.2822364073465852,0.7185021805412629
2600,8,0.28267443821980404,0.282236714135198,0.7185021805412629
2925,9,0.2826879906654358,0.2822446748614311,0.7185021805412629
3250,10,0.2826538383960724,0.2822405901901862,0.7185021805412629
3575,11,0.28272807809022754,0.28224070720812855,0.7185021805412629
3900,12,0.2827393670265491,0.28224290775902133,0.7185021805412629
4225,13,0.28263936217014607,0.2822414071244352,0.7185021805412629
4550,14,0.28268026067660407,0.2822360725087278,0.7185021805412629
4875,15,0.2826144233116737,0.2822791447534281,0.7185708941782222
