step,epoch,avg_train_loss,avg_val_loss,val_dice_score
649,1,0.23072450462217875,0.22402259071960168,0.7897350652252927
1298,2,0.21701122622919744,0.22108685827868826,0.8097650312325534
1947,3,0.21395249977042016,0.22054292458821745,0.7907097330864739
2596,4,0.21503440590319906,0.2137261223705376,0.8145492541439393
3245,5,0.20759371205452595,0.20648128342102556,0.8287872715907938
3894,6,0.20412026648804293,0.21374801129979246,0.8224866491030244
4543,7,0.20066322471217493,0.20825181419358535,0.82193663891624
5192,8,0.20757199814672278,0.2149785357143949,0.8176378314109409
5841,9,0.20126302893889153,0.21444673222654007,0.8233469452928094
6490,10,0.19929674979534648,0.23361852940391092,0.8255209138288218
7139,11,0.19998488551111912,0.21133912069832578,0.8269171482499909
7788,12,0.19799151904134796,0.21644014722722418,0.8269462918533999
8437,13,0.19864503502019198,0.22096581088707729,0.824275511152604
9086,14,0.19822358809560767,0.20901058712864623,0.815794636221493
9735,15,0.19882051830390937,0.22976008178118398,0.8217325626927263
