step,epoch,avg_train_loss,avg_val_loss,val_dice_score
325,1,0.23217369881960062,0.22331338069018195,0.7940304989323896
650,2,0.2309499373802772,0.22985894211074887,0.7820898347041186
975,3,0.22557708070828364,0.22303290095399408,0.7918356955051422
1300,4,0.2202768524793478,0.21941622324726162,0.8017971366643906
1625,5,0.2136544253734442,0.21530919872662602,0.8008967795792747
1950,6,0.21335786443490248,0.2172910051749033,0.8023708725676817
2275,7,0.21480910383738006,0.21715166200609767,0.8019816507311428
2600,8,0.21404379083560063,0.21241779581588857,0.8027226206134347
2925,9,0.21147720923790564,0.2136436365544796,0.8091860282070497
3250,10,0.20743773478728075,0.2204745948752936,0.8055429151829552
3575,11,0.20781656205654145,0.21042557301766732,0.8100450275575414
3900,12,0.20506259945722727,0.22524150044602506,0.8024614330600289
4225,13,0.20405743731902196,0.22960307821631432,0.809365418027429
4550,14,0.2015885361799827,0.22357429388691397,0.8125890098950442
4875,15,0.2046607393026352,0.2508912824970834,0.8042753365109948
