step,epoch,avg_train_loss,avg_val_loss,val_dice_score
325,1,0.2794193598857293,0.26850107531337175,0.7357188314199448
650,2,0.26929096148564263,0.2663672750487047,0.7404030614039477
975,3,0.2631829160451889,0.26562153000165434,0.7513729368939119
1300,4,0.25939339316808263,0.2776978769723107,0.7404986006372115
1625,5,0.25730961785866663,0.27171255604309197,0.7405313279698876
1950,6,0.26761822929749124,0.2660633886561674,0.7442764780100655
2275,7,0.26390756093538725,0.266699911259553,0.7531029783627566
2600,8,0.25895799728540275,0.25866618489517884,0.7612678890719133
2925,9,0.2568537688713807,0.2642680009936585,0.7544323775698157
3250,10,0.2545110530578173,0.2587828000678736,0.7564988451845506
3575,11,0.2587650488431637,0.2637617572703782,0.757744097534348
3900,12,0.2584170395594377,0.2596434983698761,0.7549972148502574
4225,13,0.2558401869352047,0.25942740501726375,0.761401495512794
4550,14,0.25510938227176666,0.2607206395443748,0.7582756140652824
4875,15,0.25337786990862626,0.2649317995152053,0.7550387680530548
